```python
import bisect


def longest_increasing_subsequence_length(nums: list[int]) -> int:
    """
    Compute the length of the longest strictly increasing subsequence (LIS)
    using the O(n log n) patience-sorting method.

    The algorithm maintains a list `tails` where `tails[i]` is the smallest
    tail element for an increasing subsequence of length `i + 1`. For each
    number in the input, we use binary search to find the position where it
    can replace an existing tail (to keep tails as small as possible) or
    append to the end (extending the longest subsequence found so far).

    Time complexity: O(n log n)
    Space complexity: O(n)

    Args:
        nums: A list of integers.

    Returns:
        The length of the longest strictly increasing subsequence.
    """
    if not nums:
        return 0

    tails = []  # tails[i] = smallest tail of an increasing subsequence of length i+1

    for num in nums:
        # Find the leftmost position in tails where tails[pos] >= num
        # This ensures strict increase (we replace the first element >= num)
        pos = bisect.bisect_left(tails, num)

        if pos == len(tails):
            # num is larger than all elements in tails, extend the longest subsequence
            tails.append(num)
        else:
            # Replace tails[pos] with num to keep the tail as small as possible
            tails[pos] = num

    return len(tails)
```

[stderr]
phase       detail                      elapsed/progress
load        weights                      0.00%           0 B /      15.17 GiB     0.000 s
load        weights                     94.77%     14.37 GiB /      15.17 GiB    10.008 s
load        weights                    100.00%     15.17 GiB /      15.17 GiB    11.043 s
load        engine construction           12.934 s
load        artifact/materialize          12.802 s
load        host to device                11.043 s
summary     target                    qwen3_8_27b
summary     weights                   groupwise-int
summary     artifact file read        15.18 GiB
summary     weight H2D                15.17 GiB
summary     pinned staging peak       256.00 MiB
summary     tensors/resources         783 / 6
prepare     render/preprocess              0.000 s
generate    vision                         0.000 s
generate    text prefill                   0.225 s
generate    decode                         7.104 s
generate    total                          7.331 s
summary     sampling                  greedy (temperature 0)
summary     finish reason             stop-token
summary     prompt tokens             49
summary     reused prompt tokens      0
summary     generated tokens          352
summary     model elapsed             7.330 s
summary     prefill speed             217.36 tok/s
summary     decode speed              49.41 tok/s
summary     throughput (overall)      48.02 tok/s
summary     device                    0
summary     max context               1024
summary     KV capacity policy        explicit
summary     KV capacity               1024
summary     KV page groups            16 / 16
summary     gpu weights used          15.17 GiB / 15.17 GiB
summary     gpu sequence used         119.18 MiB / 119.18 MiB
summary     kv cache dtype            int8-group64
summary     kv cache payload          35.19 MiB
summary     gpu workspace peak        5.11 MiB / 10.79 MiB
summary     runtime reservation       141.97 MiB
summary     free after weights        179.06 MiB
summary     free after startup        45.06 MiB
summary     KV capacity headroom      0 B
summary     planned slack             37.09 MiB
summary     CUDA Graph memory         2.00 MiB / 12.00 MiB
summary     planned device total      15.31 GiB
summary     mtp draft window          2
summary     mtp rounds                130
summary     mtp fallback steps        0
summary     mtp drafted tokens        260
summary     mtp accepted tokens       221
summary     mtp acceptance rate       85.00%
summary     mtp acceptance length     2.70 tok/round
summary     mtp accepted by pos       117,104
