```python
from typing import List


def two_sum(nums: List[int], target: int) -> List[int]:
    """
    Given a list of integers `nums` and an integer `target`, return the indices
    of the two numbers such that they add up to `target`.

    Each input is guaranteed to have exactly one solution, and you may not use
    the same element twice.

    Args:
        nums: A list of integers.
        target: The target sum.

    Returns:
        A list containing the two indices whose corresponding values sum to target.

    Example:
        >>> two_sum([2, 7, 11, 15], 9)
        [0, 1]
    """
    seen: dict[int, int] = {}
    for i, num in enumerate(nums):
        complement = target - num
        if complement in seen:
            return [seen[complement], i]
        seen[num] = i
    # This line should never be reached given the problem constraints
    return []
```

[stderr]
phase       detail                      elapsed/progress
load        weights                      0.00%           0 B /      15.17 GiB     0.000 s
load        weights                    100.00%     15.17 GiB /      15.17 GiB     5.050 s
load        engine construction            6.972 s
load        artifact/materialize           6.840 s
load        host to device                 5.050 s
summary     target                    qwen3_8_27b
summary     weights                   groupwise-int
summary     artifact file read        15.18 GiB
summary     weight H2D                15.17 GiB
summary     pinned staging peak       256.00 MiB
summary     tensors/resources         783 / 6
prepare     render/preprocess              0.000 s
generate    vision                         0.000 s
generate    text prefill                   0.226 s
generate    decode                         4.212 s
generate    total                          4.439 s
summary     sampling                  greedy (temperature 0)
summary     finish reason             stop-token
summary     prompt tokens             66
summary     reused prompt tokens      0
summary     generated tokens          235
summary     model elapsed             4.438 s
summary     prefill speed             292.26 tok/s
summary     decode speed              55.55 tok/s
summary     throughput (overall)      52.95 tok/s
summary     device                    0
summary     max context               1024
summary     KV capacity policy        explicit
summary     KV capacity               1024
summary     KV page groups            16 / 16
summary     gpu weights used          15.17 GiB / 15.17 GiB
summary     gpu sequence used         121.38 MiB / 121.38 MiB
summary     kv cache dtype            int8-group64
summary     kv cache payload          35.19 MiB
summary     gpu workspace peak        7.39 MiB / 10.79 MiB
summary     runtime reservation       144.17 MiB
summary     free after weights        179.06 MiB
summary     free after startup        43.06 MiB
summary     KV capacity headroom      0 B
summary     planned slack             34.90 MiB
summary     CUDA Graph memory         2.00 MiB / 12.00 MiB
summary     planned device total      15.31 GiB
summary     mtp draft window          3
summary     mtp rounds                68
summary     mtp fallback steps        0
summary     mtp drafted tokens        204
summary     mtp accepted tokens       166
summary     mtp acceptance rate       81.37%
summary     mtp acceptance length     3.44 tok/round
summary     mtp accepted by pos       62,55,49
