```python
def average(values):
    if not values:
        return 0
    total = 0
    for v in values:
        total += v
    return total / len(values)
```

[stderr]
phase       detail                      elapsed/progress
load        weights                      0.00%           0 B /      14.96 GiB     0.000 s
load        weights                    100.00%     14.96 GiB /      14.96 GiB     5.205 s
load        engine construction            7.092 s
load        artifact/materialize           6.961 s
load        host to device                 5.205 s
summary     target                    qwen3_8_27b
summary     weights                   groupwise-int
summary     artifact file read        14.97 GiB
summary     weight H2D                14.96 GiB
summary     pinned staging peak       256.00 MiB
summary     tensors/resources         771 / 6
prepare     render/preprocess              0.000 s
generate    vision                         0.000 s
generate    text prefill                   0.212 s
generate    decode                         1.850 s
generate    total                          2.063 s
summary     sampling                  greedy (temperature 0)
summary     finish reason             stop-token
summary     prompt tokens             68
summary     reused prompt tokens      0
summary     generated tokens          47
summary     model elapsed             2.062 s
summary     prefill speed             320.10 tok/s
summary     decode speed              24.87 tok/s
summary     throughput (overall)      22.79 tok/s
summary     device                    0
summary     max context               1024
summary     KV capacity policy        explicit
summary     KV capacity               1024
summary     KV page groups            16 / 16
summary     gpu weights used          14.96 GiB / 14.96 GiB
summary     gpu sequence used         110.36 MiB / 110.36 MiB
summary     kv cache dtype            int8-group64
summary     kv cache payload          33.00 MiB
summary     gpu workspace peak        10.79 MiB / 10.79 MiB
summary     runtime reservation       133.15 MiB
summary     free after weights        393.06 MiB
summary     free after startup        267.06 MiB
summary     KV capacity headroom      0 B
summary     planned slack             259.91 MiB
summary     CUDA Graph memory         2.00 MiB / 12.00 MiB
summary     planned device total      15.09 GiB
