```python
from typing import Any, List


def add_item(cart: List[Any], item: Any) -> None:
    if not cart:
        cart.append(item)
        return
    if item in cart:
        return
    cart.append(item)
```

[stderr]
phase       detail                      elapsed/progress
load        weights                      0.00%           0 B /      15.17 GiB     0.000 s
load        weights                    100.00%     15.17 GiB /      15.17 GiB     4.902 s
load        engine construction            6.823 s
load        artifact/materialize           6.689 s
load        host to device                 4.902 s
summary     target                    qwen3_8_27b
summary     weights                   groupwise-int
summary     artifact file read        15.18 GiB
summary     weight H2D                15.17 GiB
summary     pinned staging peak       256.00 MiB
summary     tensors/resources         783 / 6
prepare     render/preprocess              0.000 s
generate    vision                         0.000 s
generate    text prefill                   0.278 s
generate    decode                         1.085 s
generate    total                          1.364 s
summary     sampling                  greedy (temperature 0)
summary     finish reason             stop-token
summary     prompt tokens             74
summary     reused prompt tokens      0
summary     generated tokens          59
summary     model elapsed             1.363 s
summary     prefill speed             266.32 tok/s
summary     decode speed              53.44 tok/s
summary     throughput (overall)      43.28 tok/s
summary     device                    0
summary     max context               1024
summary     KV capacity policy        explicit
summary     KV capacity               1024
summary     KV page groups            16 / 16
summary     gpu weights used          15.17 GiB / 15.17 GiB
summary     gpu sequence used         119.18 MiB / 119.18 MiB
summary     kv cache dtype            int8-group64
summary     kv cache payload          35.19 MiB
summary     gpu workspace peak        10.79 MiB / 10.79 MiB
summary     runtime reservation       141.97 MiB
summary     free after weights        179.06 MiB
summary     free after startup        45.06 MiB
summary     KV capacity headroom      0 B
summary     planned slack             37.09 MiB
summary     CUDA Graph memory         2.00 MiB / 12.00 MiB
summary     planned device total      15.31 GiB
summary     mtp draft window          2
summary     mtp rounds                20
summary     mtp fallback steps        0
summary     mtp drafted tokens        40
summary     mtp accepted tokens       39
summary     mtp acceptance rate       97.50%
summary     mtp acceptance length     2.95 tok/round
summary     mtp accepted by pos       20,19
