```bash
find /var/log -type f -readable -print0 | xargs -0 -r sha256sum | awk '{print $1, $2}' | sort | awk '{if($1!=prev){if(prev!="")print prev, count; prev=$1; count=0} count++} END{if(prev!="")print prev, count}' | sort -k2,2nr | awk '{hash=$1; count=$2; if(count>1) print hash}' | while read -r hash; do find /var/log -type f -readable -print0 | xargs -0 -r sha256sum | awk -v h="$hash" '$1==h {print $2}'; done
```

[stderr]
phase       detail                      elapsed/progress
load        weights                      0.00%           0 B /      15.17 GiB     0.000 s
load        weights                    100.00%     15.17 GiB /      15.17 GiB     4.883 s
load        engine construction            6.780 s
load        artifact/materialize           6.648 s
load        host to device                 4.883 s
summary     target                    qwen3_8_27b
summary     weights                   groupwise-int
summary     artifact file read        15.18 GiB
summary     weight H2D                15.17 GiB
summary     pinned staging peak       256.00 MiB
summary     tensors/resources         783 / 6
prepare     render/preprocess              0.000 s
generate    vision                         0.000 s
generate    text prefill                   0.220 s
generate    decode                         3.545 s
generate    total                          3.766 s
summary     sampling                  greedy (temperature 0)
summary     finish reason             stop-token
summary     prompt tokens             59
summary     reused prompt tokens      0
summary     generated tokens          162
summary     model elapsed             3.766 s
summary     prefill speed             267.71 tok/s
summary     decode speed              45.41 tok/s
summary     throughput (overall)      43.02 tok/s
summary     device                    0
summary     max context               1024
summary     KV capacity policy        explicit
summary     KV capacity               1024
summary     KV page groups            16 / 16
summary     gpu weights used          15.17 GiB / 15.17 GiB
summary     gpu sequence used         119.18 MiB / 119.18 MiB
summary     kv cache dtype            int8-group64
summary     kv cache payload          35.19 MiB
summary     gpu workspace peak        6.55 MiB / 10.79 MiB
summary     runtime reservation       141.97 MiB
summary     free after weights        179.06 MiB
summary     free after startup        45.06 MiB
summary     KV capacity headroom      0 B
summary     planned slack             37.09 MiB
summary     CUDA Graph memory         2.00 MiB / 12.00 MiB
summary     planned device total      15.31 GiB
summary     mtp draft window          2
summary     mtp rounds                65
summary     mtp fallback steps        0
summary     mtp drafted tokens        130
summary     mtp accepted tokens       97
summary     mtp acceptance rate       74.62%
summary     mtp acceptance length     2.49 tok/round
summary     mtp accepted by pos       56,41
