```ini
# /etc/systemd/system/myapp.service
# Systemd service unit file for myapp

[Unit]
# Description of the service, shown in systemctl status output
Description=My Application Service

# Ensure the service starts only after the network is fully online
After=network-online.target

# Require network-online.target to be active before this service can start
Wants=network-online.target

[Service]
# Run the application as the unprivileged user 'myapp'
User=myapp

# The full command to execute, including arguments
ExecStart=/usr/local/bin/myapp --port 8080

# Restart the service if it exits with a non-zero status (failure)
Restart=on-failure

# Wait 5 seconds before restarting after a failure
RestartSec=5

# Optional: Set working directory (adjust as needed)
WorkingDirectory=/usr/local/bin

# Optional: Set environment variables if needed
# Environment="MY_ENV_VAR=value"

[Install]
# Specify the target to enable the service at boot
WantedBy=multi-user.target
```

[stderr]
phase       detail                      elapsed/progress
load        weights                      0.00%           0 B /      14.96 GiB     0.000 s
load        weights                    100.00%     14.96 GiB /      14.96 GiB     5.113 s
load        engine construction            7.005 s
load        artifact/materialize           6.865 s
load        host to device                 5.113 s
summary     target                    qwen3_8_27b
summary     weights                   groupwise-int
summary     artifact file read        14.97 GiB
summary     weight H2D                14.96 GiB
summary     pinned staging peak       256.00 MiB
summary     tensors/resources         771 / 6
prepare     render/preprocess              0.000 s
generate    vision                         0.000 s
generate    text prefill                   0.274 s
generate    decode                         9.299 s
generate    total                          9.574 s
summary     sampling                  greedy (temperature 0)
summary     finish reason             stop-token
summary     prompt tokens             74
summary     reused prompt tokens      0
summary     generated tokens          232
summary     model elapsed             9.573 s
summary     prefill speed             270.24 tok/s
summary     decode speed              24.84 tok/s
summary     throughput (overall)      24.24 tok/s
summary     device                    0
summary     max context               1024
summary     KV capacity policy        explicit
summary     KV capacity               1024
summary     KV page groups            16 / 16
summary     gpu weights used          14.96 GiB / 14.96 GiB
summary     gpu sequence used         110.36 MiB / 110.36 MiB
summary     kv cache dtype            int8-group64
summary     kv cache payload          33.00 MiB
summary     gpu workspace peak        10.79 MiB / 10.79 MiB
summary     runtime reservation       133.15 MiB
summary     free after weights        393.06 MiB
summary     free after startup        267.06 MiB
summary     KV capacity headroom      0 B
summary     planned slack             259.91 MiB
summary     CUDA Graph memory         2.00 MiB / 12.00 MiB
summary     planned device total      15.09 GiB
