```ini
# /etc/systemd/system/myapp.service
# Systemd service unit file for myapp

[Unit]
# Description of the service, shown in systemctl status output
Description=My Application Service

# Ensure the service starts only after the network is fully online
After=network-online.target

# Require network-online.target to be active before this service can start
Wants=network-online.target

[Service]
# Run the application as the unprivileged user 'myapp'
User=myapp

# The full command to execute, including arguments
ExecStart=/usr/local/bin/myapp --port 8080

# Restart the service if it exits with a non-zero status (failure)
Restart=on-failure

# Wait 5 seconds before restarting after a failure
RestartSec=5

# Optional: Set working directory (adjust as needed)
WorkingDirectory=/usr/local/bin

# Optional: Set environment variables if needed
# Environment="MY_ENV_VAR=value"

[Install]
# Specify the target to enable the service at boot
WantedBy=multi-user.target
```

[stderr]
phase       detail                      elapsed/progress
load        weights                      0.00%           0 B /      15.17 GiB     0.000 s
load        weights                    100.00%     15.17 GiB /      15.17 GiB     4.882 s
load        engine construction            6.801 s
load        artifact/materialize           6.667 s
load        host to device                 4.882 s
summary     target                    qwen3_8_27b
summary     weights                   groupwise-int
summary     artifact file read        15.18 GiB
summary     weight H2D                15.17 GiB
summary     pinned staging peak       256.00 MiB
summary     tensors/resources         783 / 6
prepare     render/preprocess              0.000 s
generate    vision                         0.000 s
generate    text prefill                   0.281 s
generate    decode                         5.014 s
generate    total                          5.296 s
summary     sampling                  greedy (temperature 0)
summary     finish reason             stop-token
summary     prompt tokens             74
summary     reused prompt tokens      0
summary     generated tokens          232
summary     model elapsed             5.295 s
summary     prefill speed             263.58 tok/s
summary     decode speed              46.07 tok/s
summary     throughput (overall)      43.82 tok/s
summary     device                    0
summary     max context               1024
summary     KV capacity policy        explicit
summary     KV capacity               1024
summary     KV page groups            16 / 16
summary     gpu weights used          15.17 GiB / 15.17 GiB
summary     gpu sequence used         119.18 MiB / 119.18 MiB
summary     kv cache dtype            int8-group64
summary     kv cache payload          35.19 MiB
summary     gpu workspace peak        10.79 MiB / 10.79 MiB
summary     runtime reservation       141.97 MiB
summary     free after weights        179.06 MiB
summary     free after startup        45.06 MiB
summary     KV capacity headroom      0 B
summary     planned slack             37.09 MiB
summary     CUDA Graph memory         2.00 MiB / 12.00 MiB
summary     planned device total      15.31 GiB
summary     mtp draft window          2
summary     mtp rounds                92
summary     mtp fallback steps        0
summary     mtp drafted tokens        184
summary     mtp accepted tokens       141
summary     mtp acceptance rate       76.63%
summary     mtp acceptance length     2.53 tok/round
summary     mtp accepted by pos       82,59
