```python
import bisect


def longest_increasing_subsequence(nums: list[int]) -> int:
    """
    Compute the length of the longest strictly increasing subsequence (LIS)
    using the patience-sorting (binary search) method in O(n log n) time.

    The algorithm maintains a list `tails` where `tails[i]` is the smallest
    tail element for an increasing subsequence of length `i + 1`. For each
    number in the input, we use binary search to find the position where it
    should be placed in `tails` (the first element >= current number for
    strictly increasing). If the number is larger than all elements in
    `tails`, it extends the longest subsequence. Otherwise, it replaces the
    first element that is >= it, which keeps `tails` as small as possible
    for each subsequence length, allowing longer subsequences to be formed
    later.

    Args:
        nums: A list of integers.

    Returns:
        The length of the longest strictly increasing subsequence.
    """
    if not nums:
        return 0

    tails = []  # tails[i] = smallest tail of an increasing subsequence of length i+1

    for num in nums:
        # Find the leftmost index in tails where tails[index] >= num
        # This is equivalent to finding the position to replace for strictly increasing
        idx = bisect.bisect_left(tails, num)

        if idx == len(tails):
            # num is greater than all elements in tails, so it extends the longest subsequence
            tails.append(num)
        else:
            # Replace the first element that is >= num with num
            # This keeps tails as small as possible for each length
            tails[idx] = num

    return len(tails)
```

[stderr]
phase       detail                      elapsed/progress
load        weights                      0.00%           0 B /      13.85 GiB     0.000 s
load        weights                    100.00%     13.85 GiB /      13.85 GiB     6.994 s
load        engine construction           10.035 s
load        artifact/materialize           9.092 s
load        host to device                 6.994 s
summary     target                    qwen3_8_27b
summary     weights                   groupwise-int
summary     artifact file read        13.86 GiB
summary     weight H2D                13.85 GiB
summary     pinned staging peak       256.00 MiB
summary     tensors/resources         783 / 6
prepare     render/preprocess              0.000 s
generate    vision                         0.000 s
generate    text prefill                   0.249 s
generate    decode                         9.478 s
generate    total                          9.728 s
summary     sampling                  greedy (temperature 0)
summary     finish reason             stop-token
summary     prompt tokens             49
summary     reused prompt tokens      0
summary     generated tokens          400
summary     model elapsed             9.727 s
summary     prefill speed             196.59 tok/s
summary     decode speed              42.10 tok/s
summary     throughput (overall)      41.12 tok/s
summary     device                    0
summary     max context               1024
summary     KV capacity policy        explicit
summary     KV capacity               1024
summary     KV page groups            16 / 16
summary     gpu weights used          13.85 GiB / 13.85 GiB
summary     gpu sequence used         77.73 MiB / 77.73 MiB
summary     kv cache dtype            int8-group64
summary     kv cache payload          35.19 MiB
summary     gpu workspace peak        5.11 MiB / 10.79 MiB
summary     runtime reservation       94.00 MiB
summary     free after weights        1.49 GiB
summary     free after startup        1.40 GiB
summary     KV capacity headroom      0 B
summary     planned slack             1.40 GiB
summary     CUDA Graph memory         2.00 MiB / 4.00 MiB
summary     planned device total      13.94 GiB
summary     mtp draft window          3
summary     mtp rounds                125
summary     mtp fallback steps        0
summary     mtp drafted tokens        375
summary     mtp accepted tokens       277
summary     mtp acceptance rate       73.87%
summary     mtp acceptance length     3.22 tok/round
summary     mtp accepted by pos       107,94,76
