```python
def clamp(value, low, high):
    """Clamp a value between a lower and upper bound.

    Args:
        value: The value to be clamped.
        low: The minimum allowed value.
        high: The maximum allowed value.

    Returns:
        The clamped value, which is at least `low` and at most `high`.

    Example:
        >>> clamp(15, 0, 10)
        10
    """
    return max(low, min(high, value))
```

[stderr]
phase       detail                      elapsed/progress
load        weights                      0.00%           0 B /      13.85 GiB     0.000 s
load        weights                    100.00%     13.85 GiB /      13.85 GiB     5.873 s
load        engine construction            8.935 s
load        artifact/materialize           8.006 s
load        host to device                 5.873 s
summary     target                    qwen3_8_27b
summary     weights                   groupwise-int
summary     artifact file read        13.86 GiB
summary     weight H2D                13.85 GiB
summary     pinned staging peak       256.00 MiB
summary     tensors/resources         783 / 6
prepare     render/preprocess              0.000 s
generate    vision                         0.000 s
generate    text prefill                   0.267 s
generate    decode                         2.569 s
generate    total                          2.837 s
summary     sampling                  greedy (temperature 0)
summary     finish reason             stop-token
summary     prompt tokens             60
summary     reused prompt tokens      0
summary     generated tokens          123
summary     model elapsed             2.836 s
summary     prefill speed             224.54 tok/s
summary     decode speed              47.49 tok/s
summary     throughput (overall)      43.37 tok/s
summary     device                    0
summary     max context               1024
summary     KV capacity policy        explicit
summary     KV capacity               1024
summary     KV page groups            16 / 16
summary     gpu weights used          13.85 GiB / 13.85 GiB
summary     gpu sequence used         77.73 MiB / 77.73 MiB
summary     kv cache dtype            int8-group64
summary     kv cache payload          35.19 MiB
summary     gpu workspace peak        6.67 MiB / 10.79 MiB
summary     runtime reservation       94.00 MiB
summary     free after weights        1.49 GiB
summary     free after startup        1.40 GiB
summary     KV capacity headroom      0 B
summary     planned slack             1.40 GiB
summary     CUDA Graph memory         2.00 MiB / 4.00 MiB
summary     planned device total      13.94 GiB
summary     mtp draft window          3
summary     mtp rounds                34
summary     mtp fallback steps        0
summary     mtp drafted tokens        102
summary     mtp accepted tokens       89
summary     mtp acceptance rate       87.25%
summary     mtp acceptance length     3.62 tok/round
summary     mtp accepted by pos       33,30,26
