```python
def validate_age(age):
    if age < 0:
        raise ValueError('age must be >= 0')
    if age > 150:
        raise ValueError('age must be <= 150')


def set_age(user, age):
    validate_age(age)
    user.age = age
```

[stderr]
phase       detail                      elapsed/progress
load        weights                      0.00%           0 B /      13.85 GiB     0.000 s
load        weights                    100.00%     13.85 GiB /      13.85 GiB     6.286 s
load        engine construction            9.251 s
load        artifact/materialize           8.395 s
load        host to device                 6.286 s
summary     target                    qwen3_8_27b
summary     weights                   groupwise-int
summary     artifact file read        13.86 GiB
summary     weight H2D                13.85 GiB
summary     pinned staging peak       256.00 MiB
summary     tensors/resources         783 / 6
prepare     render/preprocess              0.000 s
generate    vision                         0.000 s
generate    text prefill                   0.414 s
generate    decode                         1.442 s
generate    total                          1.857 s
summary     sampling                  greedy (temperature 0)
summary     finish reason             stop-token
summary     prompt tokens             95
summary     reused prompt tokens      0
summary     generated tokens          75
summary     model elapsed             1.856 s
summary     prefill speed             229.30 tok/s
summary     decode speed              51.32 tok/s
summary     throughput (overall)      40.40 tok/s
summary     device                    0
summary     max context               1024
summary     KV capacity policy        explicit
summary     KV capacity               1024
summary     KV page groups            16 / 16
summary     gpu weights used          13.85 GiB / 13.85 GiB
summary     gpu sequence used         77.73 MiB / 77.73 MiB
summary     kv cache dtype            int8-group64
summary     kv cache payload          35.19 MiB
summary     gpu workspace peak        10.79 MiB / 10.79 MiB
summary     runtime reservation       94.00 MiB
summary     free after weights        1.49 GiB
summary     free after startup        1.40 GiB
summary     KV capacity headroom      0 B
summary     planned slack             1.40 GiB
summary     CUDA Graph memory         2.00 MiB / 4.00 MiB
summary     planned device total      13.94 GiB
summary     mtp draft window          3
summary     mtp rounds                19
summary     mtp fallback steps        0
summary     mtp drafted tokens        57
summary     mtp accepted tokens       57
summary     mtp acceptance rate       100.00%
summary     mtp acceptance length     4.00 tok/round
summary     mtp accepted by pos       19,19,19
