```python
def factorial(n):
    """
    Compute the factorial of a non-negative integer n iteratively.
    
    Args:
        n: A non-negative integer.
        
    Returns:
        The factorial of n (n!).
        
    Raises:
        ValueError: If n is negative.
        TypeError: If n is not an integer.
        
    Example:
        >>> factorial(5)
        120
    """
    if not isinstance(n, int):
        raise TypeError(f"Expected an integer, got {type(n).__name__}")
    if n < 0:
        raise ValueError("n must be a non-negative integer")
    
    result = 1
    for i in range(2, n + 1):
        result *= i
    return result
```

[stderr]
phase       detail                      elapsed/progress
load        weights                      0.00%           0 B /      13.85 GiB     0.000 s
load        weights                    100.00%     13.85 GiB /      13.85 GiB     6.072 s
load        engine construction            9.070 s
load        artifact/materialize           8.241 s
load        host to device                 6.072 s
summary     target                    qwen3_8_27b
summary     weights                   groupwise-int
summary     artifact file read        13.86 GiB
summary     weight H2D                13.85 GiB
summary     pinned staging peak       256.00 MiB
summary     tensors/resources         783 / 6
prepare     render/preprocess              0.000 s
generate    vision                         0.000 s
generate    text prefill                   0.241 s
generate    decode                         3.610 s
generate    total                          3.852 s
summary     sampling                  greedy (temperature 0)
summary     finish reason             stop-token
summary     prompt tokens             46
summary     reused prompt tokens      0
summary     generated tokens          179
summary     model elapsed             3.851 s
summary     prefill speed             191.01 tok/s
summary     decode speed              49.31 tok/s
summary     throughput (overall)      46.48 tok/s
summary     device                    0
summary     max context               1024
summary     KV capacity policy        explicit
summary     KV capacity               1024
summary     KV page groups            16 / 16
summary     gpu weights used          13.85 GiB / 13.85 GiB
summary     gpu sequence used         77.73 MiB / 77.73 MiB
summary     kv cache dtype            int8-group64
summary     kv cache payload          35.19 MiB
summary     gpu workspace peak        4.77 MiB / 10.79 MiB
summary     runtime reservation       94.00 MiB
summary     free after weights        1.49 GiB
summary     free after startup        1.40 GiB
summary     KV capacity headroom      0 B
summary     planned slack             1.40 GiB
summary     CUDA Graph memory         2.00 MiB / 4.00 MiB
summary     planned device total      13.94 GiB
summary     mtp draft window          3
summary     mtp rounds                48
summary     mtp fallback steps        0
summary     mtp drafted tokens        144
summary     mtp accepted tokens       130
summary     mtp acceptance rate       90.28%
summary     mtp acceptance length     3.71 tok/round
summary     mtp accepted by pos       46,44,40
